ranking_convergencia,nome_parceiro,municipio,local_votacao_parceiro,regiao_estimada,vereador,partido_vereador,votos_parceiro_local,votos_vereador_local,indice_convergencia,classificacao_convergencia,potencial_davi_10pct_local,potencial_davi_15pct_local,potencial_davi_20pct_local,acao_recomendada
39,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,555,108,41.47,CONVERGÊNCIA BAIXA,332,332,332,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
42,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,MÁRCIO SOARES CAVALCANTE,PP,590,73,41.1,CONVERGÊNCIA BAIXA,331,331,331,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
40,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,JOSÉ ROGÉRIO DA SILVA,PP,595,67,41.05,CONVERGÊNCIA BAIXA,332,332,332,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
41,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,RAFAEL RUDSON FEITOSA PINTO,PP,595,67,41.05,CONVERGÊNCIA BAIXA,332,332,332,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
43,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,LUZARDO DE ARAÚJO LISBOA NETO,PDT,590,70,40.91,CONVERGÊNCIA BAIXA,330,330,330,"Agendar articulação Davi + Gabi Gonçalves com o vereador LUZARDO DE ARAÚJO LISBOA NETO no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
46,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,RAFAEL RUDSON FEITOSA PINTO,PP,554,101,40.88,CONVERGÊNCIA BAIXA,327,327,327,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
44,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,595,65,40.87,CONVERGÊNCIA BAIXA,330,330,330,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
47,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,555,98,40.77,CONVERGÊNCIA BAIXA,327,327,327,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
50,Gabi Gonçalves,RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,MILITAR,ALINE BIANA CAVALCANTE,UNIÃO,507,135,40.47,CONVERGÊNCIA BAIXA,322,322,322,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação ESCOLA ESTADUAL SANTOS DUMONT. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
48,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,IZAQUE PEREIRA SILVA,AVANTE,580,71,40.39,CONVERGÊNCIA BAIXA,326,326,326,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
49,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,590,59,40.16,CONVERGÊNCIA BAIXA,325,325,325,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
68,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR OZORIA MOURA DE LIMA,NÃO INFORMADO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,419,206,40.08,CONVERGÊNCIA BAIXA,313,313,313,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação GRUPO ESCOLAR OZORIA MOURA DE LIMA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
51,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,MÁRCIO SOARES CAVALCANTE,PP,580,65,39.93,CONVERGÊNCIA BAIXA,322,322,322,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
55,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,RAUL S,MÁRCIO SOARES CAVALCANTE,PP,528,109,39.86,CONVERGÊNCIA BAIXA,318,318,318,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação GRUPO ESCOLAR MANOEL SOARES DE SOUZA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
