SQ_CANDIDATO,NR_VOTAVEL,NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,votos_total,secoes,locais_votacao,nome_alvo,tokens_busca,NM_VOTAVEL_NORMALIZADO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MATA GRANDE,2,2,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PARICONHA,2,2,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CAMPESTRE,2,2,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CARNEIROS,2,2,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PALESTINA,2,1,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,BELÉM,1,1,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CACIMBINHAS,1,1,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,DOIS RIACHOS,1,1,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,ESTRELA DE ALAGOAS,1,1,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,INHAPI,1,1,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,POÇO DAS TRINCHEIRAS,1,1,1,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
