municipio,regiao_estimada,votos_parceiro,locais_votacao,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_regiao_parceiro
COITÉ DO NÓIA,NÃO INFORMADO,10,3,9,0.0341,BAIXA PRESENÇA,171
MACEIÓ,891,10,1,4,0.0341,BAIXA PRESENÇA,172
PENEDO,PROXIMO AO TIRO DE GUERRA,10,1,4,0.0341,BAIXA PRESENÇA,173
PORTO REAL DO COLÉGIO,FLEXEIRAS SN,10,1,2,0.0341,BAIXA PRESENÇA,174
SANTANA DO IPANEMA,360,10,1,6,0.0341,BAIXA PRESENÇA,175
UNIÃO DOS PALMARES,105,10,1,7,0.0341,BAIXA PRESENÇA,176
BARRA DE SANTO ANTÔNIO,NÃO INFORMADO,9,2,7,0.0307,BAIXA PRESENÇA,177
IGREJA NOVA,IPIRANGA,9,3,7,0.0307,BAIXA PRESENÇA,178
MACEIÓ,277,9,1,5,0.0307,BAIXA PRESENÇA,179
MACEIÓ,3431,9,1,3,0.0307,BAIXA PRESENÇA,180
MARECHAL DEODORO,LOT. LUAR DO FRANCES,9,1,6,0.0307,BAIXA PRESENÇA,181
PORTO REAL DO COLÉGIO,CARNAIBAS,9,1,1,0.0307,BAIXA PRESENÇA,182
UNIÃO DOS PALMARES,590,9,1,5,0.0307,BAIXA PRESENÇA,183
CANAPI,NÃO INFORMADO,8,3,7,0.0273,BAIXA PRESENÇA,184
CAPELA,893,8,1,4,0.0273,BAIXA PRESENÇA,185
CHÃ PRETA,NÃO INFORMADO,8,3,8,0.0273,BAIXA PRESENÇA,186
GIRAU DO PONCIANO,CANAFISTULA DO CIPRIANO SN,8,1,6,0.0273,BAIXA PRESENÇA,187
MACEIÓ,- PONTAL DA BARRA,8,1,5,0.0273,BAIXA PRESENÇA,188
MACEIÓ,200,8,1,4,0.0273,BAIXA PRESENÇA,189
MINADOR DO NEGRÃO,329,8,1,4,0.0273,BAIXA PRESENÇA,190
ROTEIRO,NÃO INFORMADO,8,3,8,0.0273,BAIXA PRESENÇA,191
SÃO BRÁS,TIBIRI,8,1,3,0.0273,BAIXA PRESENÇA,192
UNIÃO DOS PALMARES,217,8,1,5,0.0273,BAIXA PRESENÇA,193
ARAPIRACA,SAO LUIZ,7,1,6,0.0239,BAIXA PRESENÇA,194
LIMOEIRO DE ANADIA,NÃO INFORMADO,7,5,7,0.0239,BAIXA PRESENÇA,195
MACEIÓ,100,7,1,3,0.0239,BAIXA PRESENÇA,196
MACEIÓ,2359,7,1,4,0.0239,BAIXA PRESENÇA,197
MONTEIRÓPOLIS,NÃO INFORMADO,7,2,7,0.0239,BAIXA PRESENÇA,198
PENEDO,922,7,2,5,0.0239,BAIXA PRESENÇA,199
PENEDO,FRM,7,1,4,0.0239,BAIXA PRESENÇA,200
SANTANA DO MUNDAÚ,NÃO INFORMADO,7,1,4,0.0239,BAIXA PRESENÇA,201
SÃO SEBASTIÃO,FLEXEIRAS S,7,1,3,0.0239,BAIXA PRESENÇA,202
TEOTÔNIO VILELA,NÃO INFORMADO,7,4,7,0.0239,BAIXA PRESENÇA,203
ARAPIRACA,OURO PRETO,6,2,6,0.0205,BAIXA PRESENÇA,204
CAPELA,449,6,1,5,0.0205,BAIXA PRESENÇA,205
IGACI,NÃO INFORMADO,6,4,5,0.0205,BAIXA PRESENÇA,206
MACEIÓ,359,6,1,2,0.0205,BAIXA PRESENÇA,207
