ANO_ELEICAO,SG_UF,CD_MUNICIPIO,municipio_original,zona,secao,numero_local_votacao,nome_local_votacao,endereco,regiao_estimada,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,votos_parceiro
2022,AL,27375,CHÃ PRETA,28,64,1031,ESCOLA ESTADUAL IZIDRO TEIXEIRA,PRACA PADRE CICERO SN,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28339,PENEDO,13,92,1163,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,"RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS",VILA MATIAS,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
2022,AL,28673,SÃO JOSÉ DA TAPERA,51,13,1040,ESCOLA ESTADUAL JOSÉ SOARES FILHO,AV. ELISIO DA SILVA MAIA 761,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28533,RIO LARGO,15,228,1430,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,"AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL",CRUZEIRO DO SUL,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,36
2022,AL,27812,LAGOA DA CANOA,44,163,1082,ESCOLA DE ENSINO FUNDAMENTAL JOSÉ RODRIGUES FILHO,AV. JOÃO ANGELINO DOS SANTOS S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,27855,MACEIÓ,33,280,1201,COLÉGIO ZUMBI DOS PALMARES,"CJ ROSANE COLLOR, QD M, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,7
2022,AL,27197,BOCA DA MATA,48,7,1201,CENTRO DE EDUCAÇÃO INFANTIL PROF.ª MARIA EDJA SOARES LEITE,"RUA CORONEL CORREIA LIMA, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
2022,AL,27006,PARIPUEIRA,17,160,1040,ESCOLA MUNICIPAL MARIA DAS GRAÇAS,"RUA PROJETADA, SN",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
2022,AL,27090,BARRA DE SANTO ANTÔNIO,17,76,1040,GRUPO MUNICIPAL 7 DE SETEMBRO (ILHA),AV. CECILIA CANDIDA DA SILVA,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27456,CORURIPE,7,112,1333,ESCOLA ESTADUAL LIMA CASTRO,"AVENIDA CAMAÇARI, CENTRO",CENTRO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
