ordem_curadoria,semana_sugerida,municipio,ranking_gabi_preliminar,nome_lideranca,tipo_lideranca,partido,votos_2024,rank_local_lideranca,prioridade_lideranca_gabi,status_curadoria_lideranca,objetivo_da_abordagem,abordagem_recomendada,responsavel_articulacao,telefone_contato,observacao_curadoria,risco_politico,proximo_passo
59,Semana 3,MARECHAL DEODORO,6,BETINHO MARECHAL,Vereador(a),PDT,1606,5,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com BETINHO MARECHAL em MARECHAL DEODORO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
60,Semana 3,DELMIRO GOUVEIA,10,MARCOS COSTA,Vereador(a),MDB,1850,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com MARCOS COSTA em DELMIRO GOUVEIA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
61,Semana 4,MACEIÓ,1,MARCELO PALMEIRA,Vereador(a),PL,3185,15,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
62,Semana 4,GIRAU DO PONCIANO,15,FLAVINHA BARROS,Vereador(a),PP,2358,1,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de FLAVINHA BARROS; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
63,Semana 4,CORURIPE,9,GUTTE BRÊDA,Vereador(a),MDB,1347,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com GUTTE BRÊDA em CORURIPE; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
64,Semana 4,MACEIÓ,1,CAL MOREIRA,Vereador(a),PL,3014,16,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
65,Semana 4,MACEIÓ,1,GALBA NETTO,Vereador(a),PL,2947,17,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
66,Semana 4,ARAPIRACA,2,RAMON IZIDORO,Vereador(a),PSB,2158,9,Média,Curar na segunda rodada,Validar aderência política e capacidade de mobilização,Manter na lista de curadoria territorial; avaliar após confirmação dos apoios dos municípios prioritários.,,,,,
67,Semana 4,ATALAIA,11,CICINHO MELO,Vereador(a),MDB,1353,2,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de CICINHO MELO; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
68,Semana 4,MACEIÓ,1,ZÉ MÁRCIO FILHO,Vereador(a),MDB,2876,18,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
69,Semana 4,UNIÃO DOS PALMARES,5,MACARRÃO DA BARRA,Vereador(a),MDB,1429,6,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de MACARRÃO DA BARRA; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
70,Semana 4,MACEIÓ,1,DAVI DAVINO,Vereador(a),PP,2742,19,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
71,Semana 4,SANTANA DO IPANEMA,12,DEVÁ DO ÓLEO,Vereador(a),MDB,1499,2,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de DEVÁ DO ÓLEO; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
72,Semana 4,SÃO MIGUEL DOS CAMPOS,7,NALDO DA FASCINANTE,Vereador(a),MDB,1384,5,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com NALDO DA FASCINANTE em SÃO MIGUEL DOS CAMPOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
73,Semana 4,MARECHAL DEODORO,6,AUGUSTO GRANJEIRO,Vereador(a),MDB,1596,6,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de AUGUSTO GRANJEIRO; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
74,Semana 4,PENEDO,8,DENYS REIS,Vereador(a),PV,1166,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com DENYS REIS em PENEDO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
75,Semana 4,MACEIÓ,1,LUCIANO MARINHO,Vereador(a),PL,2630,20,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
76,Semana 4,RIO LARGO,3,ALINE DINIZ,Vereador(a),UNIÃO,1609,8,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de ALINE DINIZ; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
77,Semana 4,TEOTÔNIO VILELA,13,SERGIO CELESTINO,Vereador(a),PP,1177,1,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de SERGIO CELESTINO; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
78,Semana 4,PALMEIRA DOS ÍNDIOS,4,RONALDO RAIMUNDO,Vereador(a),PRD,1358,7,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de RONALDO RAIMUNDO; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
79,Semana 4,MACEIÓ,1,LEONARDO DIAS,Vereador(a),PL,2522,21,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
80,Semana 4,MACEIÓ,1,TECA NELMA,Vereador(a),PT,2521,22,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
