rank_estrategico,municipio,prefeito,cargo,partido,votos_prefeito,percentual_prefeito,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,peso_politico,status_articulacao,observacoes,fonte_dados,status_classificacao
70,Branquinha,RAIMUNDO JOSÉ DE FREITAS LOPES,Prefeito,MDB,6115,100.0,9547,0.36473584676894,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
71,Cacimbinhas,WLADIMIR ARAÚJO WANDERLEY,Prefeito,MDB,6336,100.0,8896,0.35460631164471,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
72,Campo Grande,TEOGENES HIGINO MELO LESSA,Prefeito,PSB,4335,57.75,9546,0.35079770359287,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
73,Japaratinga,JOSÉ SEVERINO DA SILVA,Prefeito,MDB,4957,64.14,9070,0.34787208297486,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
74,Flexeiras,SILVANA MARIA CAVALCANTE DA COSTA PINTO,Prefeito,PP,4867,72.59,8929,0.34685032910371,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
75,Maravilha,ANTÔNIO JORGE RODRIGUES,Prefeito,REPUBLICANOS,3824,54.88,8914,0.3459360546246299,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
76,Jequiá da Praia,CARLOS FELIPE CASTRO JATOBA LINS,Prefeito,PP,5250,73.54,8624,0.33678775624498,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
77,Porto de Pedras,ALLAN DE JESUS SILVA,Prefeito,MDB,3691,51.25,8406,0.32945103996158,Baixa Prioridade,True,1,2026-05-22,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
78,São Miguel dos Milagres,JADSON LESSA DOS SANTOS,Prefeito,MDB,4014,58.36,8283,0.31827771045455,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
79,Barra de São Miguel,BENEDITO DE LIRA,Prefeito,PP,4563,68.12,8167,0.30965271297553,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
80,Olho d'Água do Casado,CARLOS ALBERTO BEZERRA DA SILVA,Prefeito,PT,3267,53.46,7951,0.3072271862647699,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
81,Carneiros,UBIRATANIA MARIA SANTANA,Prefeito,MDB,4002,67.29,7662,0.30526259083192,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
82,São Brás,KLINGER QUIRINO SANTOS,Prefeito,MDB,4123,67.17,7404,0.27324629160571,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
83,Chã Preta,MAURICIO DE VASCONCELOS HOLANDA,Prefeito,MDB,3892,69.38,7014,0.2569749129214499,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
84,Paulo Jacinto,FRANCISCO MANOEL FERREIRA FONTAN,Prefeito,PP,3233,59.8,6749,0.25578187463442,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
85,Monteirópolis,LEONOR MELO MONTEIRO,Prefeito,MDB,2863,57.92,6489,0.25433150086042,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
86,Santa Luzia do Norte,FRANCIS CORREIA BARROS DE ARAÚJO,Prefeito,PP,3300,60.07,6506,0.25224728249195,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
87,Campestre,NELSON MENDES DA SILVA NETO,Prefeito,MDB,3449,68.87,6291,0.2436829076551099,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
88,Belo Monte,DALMO AUGUSTO DE ALMEIDA JÚNIOR,Prefeito,MDB,3882,79.79,6271,0.23464114630944,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
89,Roteiro,PAULO JOSÉ LEITE TEIXEIRA,Prefeito,MDB,2537,52.41,6014,0.23388230665404,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
90,Jacuípe,MAYARA CRISTINA CAVALCANTE DE FREITAS,Prefeito,MDB,3718,73.58,6216,0.22872367201058,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
91,Tanque d'Arca,JUVENIL LOPES DE OLIVEIRA,Prefeito,MDB,2326,50.71,5959,0.22580341148182,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
92,Coqueiro Seco,JADIELSON SILVA DO NASCIMENTO,Prefeito,MDB,2295,48.83,5582,0.21305350841435,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
93,Jacaré dos Homens,MARIA DO SOCORRO MELO DA SILVA,Prefeito,MDB,2574,56.95,5451,0.20447383279227,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
94,Minador do Negrão,JOSIAS SOARES DA SILVA,Prefeito,MDB,2702,63.56,5300,0.1978737789848,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
95,Jaramataia,RICARDO MARTINS BARBOSA,Prefeito,MDB,3527,100.0,5247,0.19763144473968,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
96,Olho d'Água Grande,MARIA SUZANICE HIGINO BAHÉ,Prefeito,PP,2813,63.27,5413,0.19595041784515,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
97,Belém,ADALBERTO ANTERO TORRES,Prefeito,PP,2568,68.55,5142,0.19224701853784,Baixa Prioridade,True,1,2026-06-07,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
98,Palestina,JOSÉ DJALMA GONÇALVES DA SILVA,Prefeito,MDB,3292,83.17,5118,0.18773955721004,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
99,Jundiá,JORGE SILVIO LUENGO GALVÃO,Prefeito,MDB,2927,73.51,4943,0.18054495917311,Baixa Prioridade,True,1,2026-05-08,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
100,Feliz Deserto,JORGE LUIS SILVA NUNES,Prefeito,PP,1918,56.23,4136,0.15613507390035,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
101,Mar Vermelho,ANDRÉ BRANDÃO DE ALMEIDA,Prefeito,MDB,2540,100.0,3643,0.13431298282833,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
102,Pindoba,JOSÉ CICERO CARDOSO COSTA,Prefeito,REPUBLICANOS,1785,69.13,2989,0.11160409878201,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
