rank,municipio,populacao_estimada_2024,eleitorado_2024,taxa_eleitorado,taxa_eleitorado_pct,participacao_populacao,participacao_populacao_pct,participacao_eleitorado,participacao_eleitorado_pct,indice_estrategico_inicial,indice_estrategico_pct,prioridade_politica
92,Coqueiro Seco,5700.0,5582,0.9792982456140352,97.92982456140352,0.0017701291635301,0.17701291635301,0.0022849947644064,0.22849947644064,0.0021305350841435,0.21305350841435,Baixa Prioridade
93,Jacaré dos Homens,5182.0,5451,1.0519104592821305,105.19104592821304,0.0016092647939321,0.16092647939321,0.00223136984249,0.223136984249,0.0020447383279227,0.20447383279227002,Baixa Prioridade
94,Minador do Negrão,4938.0,5300,1.0733090319967598,107.33090319967597,0.0015334908437739,0.15334908437738998,0.0021695579095941,0.21695579095941,0.001978737789848,0.1978737789848,Baixa Prioridade
95,Jaramataia,5075.0,5247,1.0338916256157635,103.38916256157636,0.0015760360534939,0.15760360534939,0.0021478623304981,0.21478623304981,0.0019763144473968,0.19763144473968,Baixa Prioridade
96,Olho d'Água Grande,4384.0,5413,1.2347171532846717,123.47171532846717,0.0013614467110379,0.13614467110379,0.0022158145216288,0.22158145216288,0.0019595041784515,0.19595041784515,Baixa Prioridade
97,Belém,4820.0,5142,1.066804979253112,106.6804979253112,0.0014968460645991,0.14968460645991,0.0021048805228552,0.21048805228552,0.0019224701853784,0.19224701853784001,Baixa Prioridade
98,Palestina,4410.0,5118,1.1605442176870748,116.05442176870748,0.0013695209844154,0.13695209844154,0.0020950561096797,0.20950561096797,0.0018773955721004,0.18773955721004001,Baixa Prioridade
99,Jundiá,4176.0,4943,1.183668582375479,118.36685823754789,0.0012968525240178,0.12968525240178,0.0020234197636082,0.20234197636082,0.0018054495917311,0.18054495917311,Baixa Prioridade
100,Feliz Deserto,4038.0,4136,1.0242694403169883,102.42694403169882,0.0012539967653218,0.12539967653217998,0.0016930738705813,0.16930738705813,0.0015613507390035,0.15613507390035,Baixa Prioridade
101,Mar Vermelho,3212.0,3643,1.134184308841843,113.4184308841843,0.000997483311098,0.0997483311098,0.0014912640499342,0.14912640499342,0.0013431298282833,0.13431298282833,Baixa Prioridade
102,Pindoba,2786.0,2989,1.0728643216080402,107.28643216080403,0.0008651894472973,0.08651894472973,0.0012235487909012,0.12235487909012001,0.0011160409878201,0.11160409878201,Baixa Prioridade
