municipio;local_votacao;endereco_local_votacao;qtd_secoes;qtd_vereadores;votos_totais;chave_local
PALMEIRA DOS INDIOS;ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA;PRAÇA ANTONIO LEITE, S/N, CANAFÍSTULA;4;23;576;PALMEIRA DOS INDIOS|ESCOLA ESTADUAL JOSE VICTORINO DA ROCHA|PRACA ANTONIO LEITE, S/N, CANAFISTULA
PALMEIRA DOS INDIOS;CENTRO DE ESTUDOS SUPLETIVO REMI MAIA;RUA FRANCISCO MOURA SN;4;27;460;PALMEIRA DOS INDIOS|CENTRO DE ESTUDOS SUPLETIVO REMI MAIA|RUA FRANCISCO MOURA SN
PALMEIRA DOS INDIOS;ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA;POVOADO CORURIPE DA CAL;2;19;435;PALMEIRA DOS INDIOS|ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA|POVOADO CORURIPE DA CAL
PALMEIRA DOS INDIOS;ESCOLA ESTADUAL DIJANIRA SANTOS SILVA;POVOADO SANTO ANTÔNIO;3;22;391;PALMEIRA DOS INDIOS|ESCOLA ESTADUAL DIJANIRA SANTOS SILVA|POVOADO SANTO ANTONIO
PALMEIRA DOS INDIOS;ESCOLA MUNICIPAL PROFESSORA ROSINHA PIMENTEL;AVENIDA CONSELHEIRO SEBASTIÃO LIMA, S/N;4;27;377;PALMEIRA DOS INDIOS|ESCOLA MUNICIPAL PROFESSORA ROSINHA PIMENTEL|AVENIDA CONSELHEIRO SEBASTIAO LIMA, S/N
PALMEIRA DOS INDIOS;ESCOLA MUNICIPAL NOÉ SIMPLÍCIO;POVOADO BONIFÁCIO;3;16;277;PALMEIRA DOS INDIOS|ESCOLA MUNICIPAL NOE SIMPLICIO|POVOADO BONIFACIO
PALMEIRA DOS INDIOS;ESCOLA ESTADUAL EGÍDIO BARBOSA;POVOADO LAGOA DO CALDEIRÃO;2;17;258;PALMEIRA DOS INDIOS|ESCOLA ESTADUAL EGIDIO BARBOSA|POVOADO LAGOA DO CALDEIRAO
PALMEIRA DOS INDIOS;UNIVERSISADE ESTADUAL DE ALAGOAS - UNEAL - PALMERIA DOS ÍNDIOS;RODOVIA EDUARDO ALVES DA SILVA, KM 03;1;26;166;PALMEIRA DOS INDIOS|UNIVERSISADE ESTADUAL DE ALAGOAS - UNEAL - PALMERIA DOS INDIOS|RODOVIA EDUARDO ALVES DA SILVA, KM 03
PENEDO;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;22;30;2285;PENEDO|COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO|RUA CASTRO ALVES, S/N, EM FRENTE A CODEVASF
PENEDO;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;12;30;1771;PENEDO|COLEGIO DIOCESANO DE PENEDO|PCA. LARGO DE FATIMA, PX. A 9A. COORDENADORIA DE ENSINO DE ALAGOAS
