municipio;ranking_polo_municipal;ranking_polo_geral;local_votacao;endereco_local_votacao;latitude;longitude;bairro;distrito;status_geocodificacao;qtd_secoes;qtd_vereadores;votos_totais;vereador_principal;partido_vereador_principal;votos_vereador_principal;percentual_dominancia;indice_influencia_local;classificacao_local;potencial_agenda_davi
MACEIO;83;172;ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO;RUA DIVISORIA FEICAO, S/N;;;;;NAO_ENCONTRADO;8;41;1185;DAVID CABRAL DAVINO;PP;240;20.25;27.41;PRIORIDADE NORMAL;AGENDA RECOMENDADA
SAO MIGUEL DOS CAMPOS;6;173;ESCOLA MUNICIPAL MARIA ROSA;RUA GERALDO SAMPAIO, S/N;-9.7779609;-36.1043243;Paraíso;;ENCONTRADO;9;30;1469;JOSIVALDO JOSÉ DA SILVA;PDT;160;10.89;27.4;PRIORIDADE NORMAL;AGENDA RECOMENDADA
CORURIPE;5;174;ESCOLA MUNICIPAL SANTA SOFIA;RUA DA CAIXA DAGUA - POVOADO BOTAFOGO;;;;;NAO_ENCONTRADO;10;24;1592;DALMO PORTO SOUZA;PSB;324;20.35;27.31;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;84;175;ESCOLA ESTADUAL PROF. REMI LIMA;RUA SAO JOSE, S/N;-9.6364716;-35.7291049;Pitanguinha;;ENCONTRADO;6;45;1149;GALBA NOVAIS DE CASTRO NETTO;PL;122;10.62;27.26;PRIORIDADE NORMAL;AGENDA RECOMENDADA
CORURIPE;6;176;ESCOLA ESTADUAL DEPUTADO JOÃO BELTRÃO;AV. ANFRÍSIO DE CASTRO LESSA SANTOS, 506;;;;;NAO_ENCONTRADO;8;32;1431;GUTTENBERG BRÊDA SOBRINHO;MDB;131;9.15;27.13;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;85;177;E.M. TRADUTOR JOÃO SAMPAIO;PRAÇA CENTRAL, S/N, CONJ. JOÃO SAMPAIO I;;;;;NAO_ENCONTRADO;6;45;1134;DAVID CABRAL DAVINO;PP;94;8.29;27.11;PRIORIDADE NORMAL;AGENDA RECOMENDADA
PENEDO;3;178;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;;;NAO_ENCONTRADO;12;28;1347;JORGE ALVES DA SILVA;MDB;147;10.91;27.1;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;86;179;ESC. EST. CAMPOS TEIXEIRA;RUA LUIZ CAMPOS TEIXEIRA, S/N;-9.6609401;-35.7088445;Ponta Verde;;ENCONTRADO;7;45;1073;KELMANN VIEIRA DE OLIVEIRA;MDB;175;16.31;27.01;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;87;180;ESC. MUN. DR. BALTAZAR DE MENDONÇA;RUA DIVISORIA FEICAO, S/N;;;;;NAO_ENCONTRADO;8;41;1129;DAVID CABRAL DAVINO;PP;228;20.19;26.87;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;88;181;ESC. MUN. PADRE PINHO;RUA QUEBRANGULO, S/N;-9.6045569;-35.7366674;Canaã;;ENCONTRADO;8;43;1068;KELMANN VIEIRA DE OLIVEIRA;MDB;100;9.36;26.86;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;89;182;E.M. MARIA CECILIA PONTES CARNAÚBA;AV. SERGIO LUIS PESSOA BRAGA, S/N;-9.5790961;-35.7376472;Antares;;ENCONTRADO;6;43;1155;OLÍVIA COIMBRA TENÓRIO VILAÇA;PP;113;9.78;26.73;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;90;183;ESCOLA ESTADUAL OVIDIO EDGAR DE ALBUQUERQUE;RUA DO CAMPO, S/N;-9.6200657;-35.6940737;Jacarecica;;ENCONTRADO;7;40;1195;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;157;13.14;26.72;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;91;184;EDIFÍCIO DO SESC;RUA PEDRO PAULINO, 40;-9.6637312;-35.7279416;Poço;;ENCONTRADO;7;48;948;DAVID CABRAL DAVINO;PP;109;11.5;26.69;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;92;185;ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS;RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO;;;;;NAO_ENCONTRADO;9;41;1055;KELMANN VIEIRA DE OLIVEIRA;MDB;134;12.7;26.64;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;14;186;ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO;PATIO DA REDE FERROVIARIA S/N;;;;;NAO_ENCONTRADO;10;43;941;ALINE BIANA CAVALCANTE;UNIÃO;105;11.16;26.61;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;93;187;ESCOLA ESTADUAL JOSEFA DA CONCEIÇÃO COSTA;RUA PÃO DE AÇÚCAR, S/N;-9.6050835;-35.7379368;Canaã;;ENCONTRADO;7;41;1128;MILTON LUNA BARROS NETO;PSB;300;26.6;26.37;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;15;188;ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON;COJ NAPOLEÃO VIANA,S/N, BAR NOSSO, PREF  ANTONIO LINS DE SOUZA;;;;;NAO_ENCONTRADO;7;50;852;ALINE BIANA CAVALCANTE;UNIÃO;96;11.27;26.35;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;3;189;INSTITUTO FEDERAL DE ALAGOAS IF/AL;RUA LOURIVAL ALFREDO N 176;-9.7129729;-35.8940606;Centro;;ENCONTRADO;10;29;1339;EVERALDO PEREIRA LOPES JUNIOR;PSB;170;12.7;26.34;PRIORIDADE NORMAL;AGENDA RECOMENDADA
PALMEIRA DOS INDIOS;7;190;GRUPO ESCOLAR GRACILIANO RAMOS;RUA 15 DE NOVEMBRO SN ;-9.4166956;-36.6362459;São Cristovão;;ENCONTRADO;9;36;1176;MAXWELL ROCHA FEITOSA;MDB;125;10.63;26.34;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;94;191;COLÉGIO SANTÍSSIMA TRINDADE;AV PRESIDENTE ROOSEVELT 1111;-9.6157912;-35.7152195;Barro Duro;;ENCONTRADO;6;47;982;ALDO ROBERTO DA ROCHA LOUREIRO;PDT;77;7.84;26.23;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;95;192;ESCOLA MUN. SILVESTRE PÉRICLES;PRAÇA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA;;;;;NAO_ENCONTRADO;7;34;1322;MILTON LUNA BARROS NETO;PSB;641;48.49;26.18;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;96;193;E.M. DOUTORA NISE DA SILVEIRA;AV. SÉRGIO LUÍS PESSOA BRAGA, 454;-9.5790961;-35.7376472;Antares;;ENCONTRADO;6;43;1094;BRIVALDO MARQUES SILVA NETO;PL;141;12.89;26.14;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;97;194;SECRETARIA MUNICIPAL DE EDUCACAO;RUA GENERAL HERMES, 1199;-9.6493509;-35.7429598;Bom Parto;;ENCONTRADO;8;42;1021;MARCELO PALMEIRA CAVALCANTE;PL;206;20.18;26.12;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;98;195;COLÉGIO OLAVO BILAC;AV. GOVERNADOR LAMENHA FILHO, S/N;-9.6472121;-35.7266209;Feitosa;;ENCONTRADO;7;39;1157;CLAUDIO MOREIRA DA SILVA;PL;427;36.91;26.06;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;99;196;ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA;RUA SÃO JOSÉ, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA;;;;;NAO_ENCONTRADO;6;42;1101;GALBA NOVAIS DE CASTRO NETTO;PL;123;11.17;25.91;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;100;197;E.E. MARCOS ANTONIO CAVALCANTI SILVA;AV. ANTONIO LISBOA DE AMORIM S/N;-9.5466799;-35.7330158;Benedito Bentes;;ENCONTRADO;6;40;1146;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;161;14.05;25.76;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;101;198;ESCOLA DE ENSINO FUNDAMENTAL DR. POMPEU SARMENTO;AV. DR. MUNIZ FALCAO, S/N;-9.641425;-35.7433313;Pinheiro;;ENCONTRADO;7;41;1057;ALDO ROBERTO DA ROCHA LOUREIRO;PDT;146;13.81;25.68;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;102;199;ESC. MUN. DR. ORLANDO ARAÚJO;RUA DR. JOSE SAMPAIO LUZ, S/N;;;;;NAO_ENCONTRADO;8;40;1019;LEONARDO DA FONSECA DIAS;PL;160;15.7;25.51;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;16;200;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;5;45;1017;JOSE CARLOS REIS DOS SANTOS FILHO;PP;206;20.26;25.5;PRIORIDADE NORMAL;AGENDA RECOMENDADA
SAO MIGUEL DOS CAMPOS;7;201;ESCOLA MUNICIPAL MARIO SOARES PALMEIRA;RUA VISCONDE DE SINIMBU, 32;;;;;NAO_ENCONTRADO;11;29;1196;DINEY SOARES TORRES NETO;MDB;153;12.79;25.45;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;103;202;CEAGB - ESCOLA ESTADUAL PROFª  MARIA JOSÉ LOUREIRO;AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;7;49;765;TEREZA NELMA PORTO VIANA SOARES;PT;57;7.45;25.21;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;104;203;COLÉGIO INTEGRADO (ANTIGO SAGRADINHA/ PRAÇA DAS GRAÇAS);RUA 16 DE SETEMBRO , 241;-9.6632893;-35.7451579;Levada;;ENCONTRADO;7;38;1099;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;170;15.47;25.21;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;105;204;ESCOLA PROF. RANILSON FRANÇA;RUA PROF MARIO BROAD, 36;-9.6587671;-35.7502437;Ponta Grossa;;ENCONTRADO;8;39;1014;JONATAS JOSE OLIVEIRA DE OMENA;PL;112;11.05;25.17;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;106;205;E.M. MANOEL PEDRO DOS SANTOS;AV. LOURIVAL MELO MOTA, S/N;-9.5508817;-35.7851439;Cidade Universitária;;ENCONTRADO;6;37;1175;LUCIANO MARINHO DA SILVA;PL;168;14.3;25.16;PRIORIDADE NORMAL;AGENDA RECOMENDADA
PALMEIRA DOS INDIOS;8;206;GRUPO ESCOLAR ALMEIDA CAVALCANTE;RUA DUQUE DE CAXIAS SN;-9.4078129;-36.629182;Centro;;ENCONTRADO;8;33;1182;CLAUDEMIR PEREIRA DA SILVA;UNIÃO;136;11.51;25.02;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;107;207;ESCOLA DE ENSINO FUNDAMENTAL DOM ANTONIO BRANDAO;RUA DO QUADRO, S/N;-9.5807594;-35.7717359;Tabuleiros dos Martins;;ENCONTRADO;7;40;1002;GALBA NOVAIS DE CASTRO NETTO;PL;169;16.87;24.86;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;108;208;ESC. DE ENS. FUND. PROF. ALMEIDA LEITE;RUA DR. VIRGILIO GUEDES, S/N;;;;;NAO_ENCONTRADO;6;41;1014;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;138;13.61;24.78;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MARECHAL DEODORO;4;209;ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA;LOT BOSQUE DA MASSAGUEIRA N 3A;;;;;NAO_ENCONTRADO;9;31;1166;GILBERTO MEDEIROS SILVA;PDT;193;16.55;24.77;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;109;210;ESCOLA DE ENS. FUND. RUI PALMEIRA;AV MONTE CASTELO, S/N;-9.6561576;-35.756673;Vergel do Lago;;ENCONTRADO;7;39;1016;JONATAS JOSE OLIVEIRA DE OMENA;PL;102;10.04;24.7;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;110;211;ESCOLA EST. PROFª ANAIAS DE LIMA ANDRADE;RUA BELO HORIZONTE, S/N;-9.5521408;-35.7303393;Benedito Bentes;;ENCONTRADO;9;39;902;JONATAS JOSE OLIVEIRA DE OMENA;PL;72;7.98;24.57;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;111;212;CENTRO DE ENSINO SANTA JULIANA;AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM;;;;;NAO_ENCONTRADO;7;41;941;LUCIANO MARINHO DA SILVA;PL;82;8.71;24.56;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;4;213;SESI - SENAI / UNIDADE PENEDO;AV. WANDERLEY, 922;-10.2822946;-36.5653561;Dom Constatino;;ENCONTRADO;11;25;1226;IVO CARLOS MOURA COSTA;PV;97;7.91;24.56;PRIORIDADE NORMAL;AGENDA RECOMENDADA
PALMEIRA DOS INDIOS;9;214;ESCOLA DE 1 GRAU ESTADO DE NOVA GERSEY;RUA SEBASTIÃO LIMA SN;-9.4134008;-36.6281836;São Luiz;;ENCONTRADO;8;33;1128;PEDRO RODRIGUES GAIA BISNETO;MDB;120;10.64;24.5;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;112;215;COLÉGIO ADVENTISTA DE MACEIÓ;AV JUCA SAMPAIO 3027;-9.6349606;-35.7085167;Jacintinho;;ENCONTRADO;6;42;953;CLAUDIO MOREIRA DA SILVA;PL;112;11.75;24.48;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;113;216;ESC. MUN. JOÃO XXIII;RUA DR.JOSE JOAQUIM DE ARAUJO, S/N;;;;;NAO_ENCONTRADO;6;43;916;DAVID CABRAL DAVINO;PP;165;18.01;24.42;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;114;217;ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ;RUA P, LOT COLINA DOS EUCALIPTOS;;;;;NAO_ENCONTRADO;6;44;882;GALBA NOVAIS DE CASTRO NETTO;PL;100;11.34;24.39;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;10;218;ESCOLA MUNICIPAL SALOMÉ DA ROCHA BARROS;RUA LINDOLFO GOMES CABRAL, 590;-9.1605223;-36.019327;União dos Palmares;;ENCONTRADO;6;40;1000;EMANUEL GOMES BALBINO;MDB;124;12.4;24.35;PRIORIDADE NORMAL;AGENDA RECOMENDADA
ARAPIRACA;47;219;CENTRO DE EDUCAÇÃO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA);RUA DOMINGOS CORREIA 1065;;;;;NAO_ENCONTRADO;4;58;550;ROGERIO PEREIRA MELO;MDB;45;8.18;24.32;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;115;220;ESC. MUN. RADIALISTA EDÉCIO LOPES (ANTIGO COL. LAERSON ROSA);RUA ALAMEDA CÉLIA DOS ANJOS, 06;;;;;NAO_ENCONTRADO;7;40;945;FRANCISCO HOLANDA COSTA FILHO;PL;153;16.19;24.31;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;7;221;ESCOLA MUNICIPAL JOSE DE CARVALHO SOUZA;RUA DO GRUPO, S/N;-10.1596304;-36.1604313;Coruripe;;ENCONTRADO;8;29;1210;RODIO ENÉAS GUIMARÃES GAMA;PP;228;18.84;24.12;PRIORIDADE NORMAL;AGENDA RECOMENDADA
ARAPIRACA;48;222;IFAL - INSTITUTO FEDERAL DE ALAGOAS;RODOVIA AL 110, N 4805;;;;;NAO_ENCONTRADO;4;48;829;LEANDRO BARBOSA DE ALMEIDA;MDB;209;25.21;24.08;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;116;223;ESC. MUN. PROFª MARILÚCIA MACEDO DOS SANTOS (ANTIGA PIABAS);RUA MARIA CECILIA DA ROCHA, S/N;-9.6350701;-35.7169194;Jacintinho;;ENCONTRADO;6;44;841;DAVID CABRAL DAVINO;PP;147;17.48;23.99;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;117;224;CLUBE DA CAIXA ECONÔMICA FEDERAL (APCEF/AL);ROD. AL 101 NORTE, S/N;;;;;NAO_ENCONTRADO;5;37;1104;KELMANN VIEIRA DE OLIVEIRA;MDB;280;25.36;23.98;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;118;225;ESCOLA DE ENSINO FUNDAMENTAL JOSÉ CORREIA COSTA;RUA LOURIVAL DE AGUIAR PESSOA, S/N;-9.5995139;-35.7234202;Serraria;;ENCONTRADO;6;42;896;MILTON LUNA BARROS NETO;PSB;74;8.26;23.93;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;119;226;ESCOLA ESTADUAL DR. FERNANDES LIMA;AV CEL. SALUSTIANO SARMENTO, S/N;-9.6196629;-35.7109176;São Jorge;;ENCONTRADO;6;42;891;ALDO ROBERTO DA ROCHA LOUREIRO;PDT;117;13.13;23.89;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;120;227;CESMAC- CAMPOS IV - EDF. PROFº ELIAS PASSOS TENÓRIO (ANTIGO GUIDO);RUA PROF ÂNGELO NETO, N 51;-9.6627145;-35.7347176;Centro;;ENCONTRADO;8;45;698;LEONARDO DA FONSECA DIAS;PL;80;11.46;23.88;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;121;228;E.M. JAIME AMORIM MIRANDA;AV BELMIRO AMORIM, 760;-9.5786241;-35.7559373;Santa Lúcia;;ENCONTRADO;4;47;839;FRANCISCO HOLANDA COSTA FILHO;PL;179;21.33;23.88;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;5;229;ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA;RUA MARINITA DE GOUVEIA SN;;;;;NAO_ENCONTRADO;8;34;1031;GILBERTO MEDEIROS SILVA;PDT;213;20.66;23.86;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;122;230;ESCOLA MUNICIPAL TOBIAS GRANJA;RUA SÃO JOSÉ, 888;-9.5818301;-35.7536067;Santa Lúcia;;ENCONTRADO;5;44;874;GALBA NOVAIS DE CASTRO NETTO;PL;96;10.98;23.82;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;5;231;ESCOLA ESTADUAL PROFESSOR ERNANI MÉRO (GRUPO ESCOLAR EXPERIMENTAL);PRAÇA LARGO DE FÁTIMA, S/N, EM FRENTE AO NUDEPE;;;;;NAO_ENCONTRADO;12;27;1034;IVO CARLOS MOURA COSTA;PV;106;10.25;23.78;PRIORIDADE NORMAL;AGENDA RECOMENDADA
ARAPIRACA;49;232;ESCOLA DE ENSINO FUNDAMENTAL GUIMARÃES PASSOS;VILA FERNANDES;;;;;NAO_ENCONTRADO;4;41;1010;SERGIO FABIO NUNES;PP;571;56.53;23.76;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;123;233;ESCOLA MUN. SÉRGIO LUIZ PESSOA BRAGA;PRACA GOVERNADOR LAMENHA FILHO, S/N;;;;;NAO_ENCONTRADO;7;38;947;FRANCISCO HOLANDA COSTA FILHO;PL;166;17.53;23.74;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;17;234;ESCOLA ESTADUAL TABULEIRO DO PINTO;RUA DA CAIXA SN;;;;;NAO_ENCONTRADO;6;47;721;MÁRCIO SOARES CAVALCANTE;PP;93;12.9;23.71;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;124;235;E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR;CONJUNTO SANTA MARIA, S/N - RUA D QD 8;;;;;NAO_ENCONTRADO;5;42;914;LUCIANO MARINHO DA SILVA;PL;153;16.74;23.62;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;18;236;ANTIGA ESCOLA FRANCISCO LEÃO DO CENTRO;PRAÇA TEIZEIRA BARROS., SN;;;;;NAO_ENCONTRADO;7;45;717;MÁRCIO SOARES CAVALCANTE;PP;108;15.06;23.57;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;125;237;ESC. EST. PROF. MÁRIO BROAD;AV. JULIO MARQUES LUZ, 231;-9.6521099;-35.7185163;Mangabeiras;;ENCONTRADO;6;44;796;KELMANN VIEIRA DE OLIVEIRA;MDB;80;10.05;23.56;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;6;238;ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO;VILA ALTINA SN;;;;;NAO_ENCONTRADO;8;27;1189;EVERALDO PEREIRA LOPES JUNIOR;PSB;142;11.94;23.33;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;126;239;E.M. PROFESSOR PETRONIO VIANA;CONJUNTO CARMINHA, S/N;-9.561154;-35.7109637;Benedito Bentes;;ENCONTRADO;7;37;934;JEANNYNE BELTRÃO LIMA SIQUEIRA;PL;102;10.92;23.32;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;7;240;ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS;RUA SALVADOR S/N LOT. LUAR DO FRANCÊS;;;;;NAO_ENCONTRADO;8;29;1118;THIAGO HENRIQUE GONDIN TORRES;PDT;188;16.82;23.23;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;127;241;E.M. PADRE BRANDÃO LIMA - ANTIGA UNIT;AV CACHOEIRA DO MEIRIM, S/N;-9.5611728;-35.7449398;Antares;;ENCONTRADO;5;39;961;LUCIANO MARINHO DA SILVA;PL;122;12.7;23.19;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;8;242;ESCOLA MUNICIPAL JOSE BUARQUE DA SILVA;RUA CHICO AZEVEDO, S/N;-10.1215463;-36.1728897;Coruripe;;ENCONTRADO;7;32;1067;GUTTENBERG BRÊDA SOBRINHO;MDB;117;10.97;23.13;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;128;243;ESC. EST. PROF. VIRGÍNIO DE CAMPOS;RUA FIRMINO DE VASCONCELOS, 22;-9.664727;-35.7134461;Ponta da Terra;;ENCONTRADO;7;41;788;KELMANN VIEIRA DE OLIVEIRA;MDB;95;12.06;23.08;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;129;244;COLÉGIO SAGRADA FAMILIA;RUA ALAMEDA MARIA DAS GRAÇAS NOVAES BRANDÃO VILELA, 07;;;;;NAO_ENCONTRADO;7;39;844;FRANCISCO HOLANDA COSTA FILHO;PL;108;12.8;23.04;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;130;245;E.E. MANOEL DE ARAUJO DORIA;AV. SENADOR TEOTONIO VILELA - CJ HENRIQUE EQUELMAN, S/N;;;;;NAO_ENCONTRADO;5;39;945;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;88;9.31;23.04;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;19;246;GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO;TRAV SANTA LUZIA S/N ;;;;;NAO_ENCONTRADO;5;43;819;MÁRCIO SOARES CAVALCANTE;PP;157;19.17;23.0;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;11;247;COLÉGIO ADVENTISTA;AV. HERMANO PLECH, 120;-9.1562349;-36.0303953;União dos Palmares;;ENCONTRADO;5;41;868;ALMIR BELARMINO DA SILVA;PDT;71;8.18;22.88;PRIORIDADE NORMAL;MONITORAMENTO
ARAPIRACA;50;248;CENTRO DE EDUCAÇÃO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE;RUA OSMAN CAVALCANTE, S/N;;;;;NAO_ENCONTRADO;3;56;511;LEANDRO BARBOSA DE ALMEIDA;MDB;41;8.02;22.87;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;10;249;GRUPO ESCOLAR MONSENHOR MACEDO;RUA 15 DE NOVEMBRO SN ;-9.4166956;-36.6362459;São Cristovão;;ENCONTRADO;7;32;1040;PEDRO RODRIGUES GAIA BISNETO;MDB;111;10.67;22.87;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;131;250;E.M. SELMA BANDEIRA;AV. DA PAZ, SN - CJ. SELMA BANDEIRA;;;;;NAO_ENCONTRADO;5;38;953;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;162;17.0;22.82;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;132;251;ESCOLA DE ENS. FUND. LINDOLFO COLLOR;AV GOVERNADOR THEOBALDO BARBOSA, S/N;-9.6587477;-35.7609201;Vergel do Lago;;ENCONTRADO;6;40;817;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;86;10.53;22.58;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;133;252;ESCOLA DE ENSINO FUNDAMENTAL PEDRO SURUAGY;AV. MACEIO, S/N;-9.5817886;-35.7694507;Tabuleiros dos Martins;;ENCONTRADO;5;40;862;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;107;12.41;22.53;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;134;253;ESCOLA ESTADUAL JOÃO PAULO II;RUA MANOEL  INACIO, S/N;-9.6123295;-35.7473881;Chã da Jaqueira;;ENCONTRADO;6;40;810;FRANCISCO HOLANDA COSTA FILHO;PL;159;19.63;22.51;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;135;254;ESCOLA ESTADUAL PROF TARCÍSIO DE JESUS;AV. SENADOR RUI PALMEIRA, S/N;-9.6660089;-35.7642836;Trapiche da Barra;;ENCONTRADO;7;36;878;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;182;20.73;22.48;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;20;255;GRUPO ESCOLAR DALMARIO DE SOUZA;RUA ALTO DA SAUDADE SN;;;;;NAO_ENCONTRADO;6;40;803;JOSE CARLOS REIS DOS SANTOS FILHO;PP;191;23.79;22.45;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;136;256;E.M. GASTONE LÚCIA DE CARVALHO BELTRÃO;CONJ. JARDIM ROYAL - MODULO II - QD Q, S/N;;;;;NAO_ENCONTRADO;5;41;817;LUCIANO MARINHO DA SILVA;PL;127;15.54;22.39;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;137;257;COLÉGIO DINÂMICO;AVENIDA MACEIÓ, N 83;-9.5817886;-35.7694507;Tabuleiros dos Martins;;ENCONTRADO;5;41;811;GALBA NOVAIS DE CASTRO NETTO;PL;113;13.93;22.33;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;138;258;ESC. MUN. MARECHAL FLORIANO PEIXOTO;RUA DA IGREJA, S/N;-9.5782165;-35.8110395;Rio Novo;;ENCONTRADO;5;36;956;KELMANN VIEIRA DE OLIVEIRA;MDB;188;19.67;22.26;PRIORIDADE NORMAL;MONITORAMENTO
