municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
ARAPIRACA;CÍCERO FERNANDES;PMB;194;ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO;POVOADO CANAÃ S/N;;;;;NAO_ENCONTRADO;35;153;22.88;9;93;18.67;REDUTO BAIXO
DELMIRO GOUVEIA;MAREVAL FERREIRA DA SILVA;MDB;195;FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR;RUA SARGENTO REGINALDO BANDEIRA, 342;;;;;NAO_ENCONTRADO;245;1353;18.11;8;143;18.61;REDUTO BAIXO
MACEIO;LEONARDO DA FONSECA DIAS;PL;196;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;408;10274;3.97;20;548;18.53;REDUTO BAIXO
RIO LARGO;MÁRCIO SOARES CAVALCANTE;PP;197;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;278;2625;10.59;16;200;18.52;REDUTO BAIXO
CORURIPE;ADGER DA ROCHA MARIA JUNIOR;PP;198;ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA;RUA DO CAJUEIRO, S/N;-10.1585695;-36.135133;Coruripe;;ENCONTRADO;241;1280;18.83;7;117;18.49;REDUTO BAIXO
RIO LARGO;JOSÉ ROGÉRIO DA SILVA;PP;199;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;269;1922;14.0;12;198;18.47;REDUTO BAIXO
RIO LARGO;NADIELLE NAYARA DA COSTA LOPES;PP;200;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;276;2002;13.79;12;199;18.45;REDUTO BAIXO
CORURIPE;EDINALDO MORAIS DE SOUZA;PSB;201;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;181;1114;16.25;12;120;18.44;REDUTO BAIXO
UNIAO DOS PALMARES;SANDRO JORGE DA SILVA;MDB;202;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;170;1280;13.28;16;141;18.44;REDUTO BAIXO
DELMIRO GOUVEIA;MARCOS ANTONIO SILVA;MDB;203;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;Eldorado;;ENCONTRADO;230;1850;12.43;15;147;18.38;REDUTO BAIXO
MARECHAL DEODORO;CLÁUDIA DÉBORA CAVALCANTE;SOLIDARIEDADE;204;NEI TÂNIA CAVALCANTE;AV CATUÇABA SN;-9.7256884;-35.8193626;Marechal Deodoro;;ENCONTRADO;51;209;24.4;6;72;18.37;REDUTO BAIXO
