municipio,local_nao_georreferenciado,local_nao_georreferenciado_normalizado,qtd_registros_afetados,melhor_correspondencia_georreferenciada,score_similaridade,status_match,latitude_sugerida,longitude_sugerida,qtd_registros_do_local_sugerido
MACEIO,ESC. MUN. RADIALISTA EDÉCIO LOPES (ANTIGO COL. LAERSON ROSA),ESCOLA MUNICIPAL RADIALISTA EDECIO LOPES ANTIGO COLEGIO LAERSON ROSA,212,E.M. MANOEL PEDRO DOS SANTOS,0.5926,SEM_MATCH,-9.5508817,-35.7851439,180
MACEIO,CENTRO DE ENSINO SANTA JULIANA,CENTRO DE ENSINO SANTA JULIANA,212,ESCOLA DE ENS. FUND. RUI PALMEIRA,0.6197,SEM_MATCH,-9.6561576,-35.756673,209
ARAPIRACA,GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA,GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA,212,GRUPO ESCOLAR TIBÚRCIO VALERIANO DA SILVA,0.6829,SEM_MATCH,-9.7442978,-36.6564083,349
RIO LARGO,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON,ESCOLA MUNICIPAL DE ENSINO F PROFESSOR JOSE EDMILSON,211,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.5361,SEM_MATCH,-9.5105587,-35.8093743,376
MACEIO,E.M. TRADUTOR JOÃO SAMPAIO,ESCOLA MUNICIPAL TRADUTOR JOAO SAMPAIO,209,ESCOLA MUNICIPAL TEREZA DE JESUS,0.6857,SEM_MATCH,-9.6701618,-35.7460477,146
MACEIO,ESCOLA MUN. SÉRGIO LUIZ PESSOA BRAGA,ESCOLA MUNICIPAL SERGIO LUIZ PESSOA BRAGA,205,E.M. LUIZ PEDRO DA SILVA,0.7273,SEM_MATCH,-9.6113055,-35.7580209,126
MACEIO,COLÉGIO SAGRADA FAMILIA,COLEGIO SAGRADA FAMILIA,203,COLÉGIO SANTA AMÉLIA GRUTA,0.6939,SEM_MATCH,-9.6196041,-35.7308553,157
ARAPIRACA,ANEXO ESCOLA JAYME DE ALTAVILLA,ANEXO ESCOLA JAYME DE ALTAVILLA,203,ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA,0.6579,SEM_MATCH,-9.7498653,-36.6655146,333
CORURIPE,ESCOLA MUN. EDUC. BÁSICA PROF. MARIA ROCHA SANTOS SILVA,ESCOLA MUNICIPAL EDUC BASICA PROFESSOR MARIA ROCHA SANTOS SILVA,198,ESCOLA MUNICIPAL JOSE BUARQUE DA SILVA,0.5743,SEM_MATCH,-10.1215463,-36.1728897,156
ARAPIRACA,ESCOLA LINDAUVA EULÁLIA DE FARIAS,ESCOLA LINDAUVA EULALIA DE FARIAS,197,ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARÉ,0.5714,SEM_MATCH,-9.7664245,-36.6509194,256
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTÁRIA MARIA DAS NEVES BORGES,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES,196,ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARÉ,0.7358,SEM_MATCH,-9.7664245,-36.6509194,256
MACEIO,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR ALMEIDA LEITE,194,ESCOLA DE ENSINO FUNDAMENTAL PROF. SUZEL DANTAS,0.835,MATCH_FRACO,-9.5935498,-35.7681296,158
MACEIO,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,194,E.M. PROFESSOR PETRONIO VIANA,0.7312,SEM_MATCH,-9.561154,-35.7109637,190
MACEIO,SEST/SENAT,SEST SENAT,193,ESCOLA SESI/SENAI,0.5926,SEM_MATCH,-9.5513964,-35.7347123,156
MACEIO,COLÉGIO SANTA AMÉLIA,COLEGIO SANTA AMELIA,193,COLÉGIO SANTA AMÉLIA GRUTA,0.8696,MATCH_PROVAVEL,-9.6196041,-35.7308553,157
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,190,ESCOLA DE ENS. FUND. HERMÍNIO CARDOSO,0.7692,MATCH_FRACO,-9.5900792,-35.786937,59
MACEIO,E.M. PROFA. HÉVIA VALÉRIA MAIA AMORIM,ESCOLA MUNICIPAL PROFESSORA HEVIA VALERIA MAIA AMORIM,189,E.M. PROFESSOR PETRONIO VIANA,0.6809,SEM_MATCH,-9.561154,-35.7109637,190
MACEIO,E.M. MARIA DE LOURDES DE MELO PIMENTEL,ESCOLA MUNICIPAL MARIA DE LOURDES DE MELO PIMENTEL,189,ESC. MUN. KÁTIA PIMENTEL ASSUNÇÃO,0.6444,SEM_MATCH,-9.6375976,-35.717939,243
CORURIPE,ESCOLA MUN. CENT. EDUCAÇÃO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,ESCOLA MUNICIPAL CENT EDUCACAO INFANTIL PROFESSOR MARIA ZENAIDE ROCHA SANTOS,188,ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA,0.5043,SEM_MATCH,-10.1585695,-36.135133,123
MACEIO,ESC. MUN. JOÃO XXIII,ESCOLA MUNICIPAL JOAO XXIII,188,E.M. JORGE DE LIMA,0.7018,SEM_MATCH,-9.5833087,-35.763066,70
CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,ESCOLA MUNICIPAL SANTA SOFIA,188,ESCOLA MUNICIPAL JOSE BUARQUE DA SILVA,0.7273,SEM_MATCH,-10.1215463,-36.1728897,156
RIO LARGO,ANTIGA ESCOLA FRANCISCO LEÃO DO CENTRO,ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO,187,GRUPO ESCOLAR DERALDO CAMPOS,0.5152,SEM_MATCH,-9.4855066,-35.8566295,88
MACEIO,ESCOLA MUN. SILVESTRE PÉRICLES,ESCOLA MUNICIPAL SILVESTRE PERICLES,184,ESC. MUN. PADRE PINHO,0.6984,SEM_MATCH,-9.6045569,-35.7366674,252
DELMIRO GOUVEIA,"VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA",VIRGILIA BEZERRA ESCOLA DE 1 E 2 GRAUS PROFESSORA,177,"VICENTE DE MENEZES, ESCOLA DE 1 E 2 GRAUS",0.6292,SEM_MATCH,-9.382029,-38.0005171,170
PENEDO,COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA,COOPERATIVA EDUCACIONAL DE PENEDO COOPEPE LTDA,175,SESI - SENAI / UNIDADE PENEDO,0.4507,SEM_MATCH,-10.2822946,-36.5653561,219
MACEIO,COLEGIO ATHENEU,COLEGIO ATHENEU,172,COLÉGIO TIRADENTES,0.7273,SEM_MATCH,-9.6734939,-35.7544376,456
ARAPIRACA,ESCOLAR ANA BERNARDES SILVEIRA,ESCOLAR ANA BERNARDES SILVEIRA,171,ESCOLA ALTERNATIVA,0.625,SEM_MATCH,-9.7477626,-36.66833,434
CORURIPE,ESCOLA ESTADUAL DEPUTADO JOÃO BELTRÃO,ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO,171,ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA,0.5,SEM_MATCH,-10.1585695,-36.135133,123
MACEIO,ESCOLA ESTADUAL TAVARES BASTOS,ESCOLA ESTADUAL TAVARES BASTOS,169,ESCOLA ESTADUAL PADRE CABRAL,0.7586,MATCH_FRACO,-9.590352,-35.783877,182
