municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,231,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,"RUA ALICIA VITORIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO,229,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO,PATIO DA REDE FERROVIARIA S/N,1.0,MATCH_FORTE,,
PENEDO,ESCOLA ESTADUAL PROFESSOR ERNANI MÉRO (GRUPO ESCOLAR EXPERIMENTAL),ESCOLA ESTADUAL PROFESSOR ERNANI MERO GRUPO ESCOLAR EXPERIMENTAL,227,ESCOLA ESTADUAL PROFESSOR ERNANI MERO (GRUPO ESCOLAR EXPERIMENTAL),"PRACA LARGO DE FATIMA, S/N, EM FRENTE AO NUDEPE",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. DR. ORLANDO ARAÚJO,ESCOLA MUNICIPAL DOUTOR ORLANDO ARAUJO,226,ESC. MUN. DR. ORLANDO ARAUJO,"RUA DR. JOSE SAMPAIO LUZ, S/N",1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,225,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,"RUA VISCONDE DE SINIMBU, 32",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR ROSINEIDE TEREZA MARTINS DA CONCEICAO,223,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO,EUCLIDES AFONSO DE MELO S/N,1.0,MATCH_FORTE,,
RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,218,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,VILA RAUL S/N,1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. RADIALISTA EDÉCIO LOPES (ANTIGO COL. LAERSON ROSA),ESCOLA MUNICIPAL RADIALISTA EDECIO LOPES ANTIGO COLEGIO LAERSON ROSA,212,ESC. MUN. RADIALISTA EDECIO LOPES (ANTIGO COL. LAERSON ROSA),"RUA ALAMEDA CELIA DOS ANJOS, 06",1.0,MATCH_FORTE,,
MACEIO,CENTRO DE ENSINO SANTA JULIANA,CENTRO DE ENSINO SANTA JULIANA,212,CENTRO DE ENSINO SANTA JULIANA,"AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM",1.0,MATCH_FORTE,,
ARAPIRACA,GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA,GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA,212,GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA,VILA SAO JOSE S/N,1.0,MATCH_FORTE,,
