_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
PALMEIRA DOS INDIOS,FACULDADE CESMAC DO SERTAO,PALMEIRA DOS INDIOS,FACULDADE CESMAC DO SERTÃO,234
MACEIO,ESCOLA ESTADUAL PROFESSORA GILVANA ATAIDE CAVALCANTE CABRAL,MACEIO,E.E. PROFA. GILVANA ATAÍDE CAVALCANTE CABRAL,234
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,231
RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,229
PENEDO,ESCOLA ESTADUAL PROFESSOR ERNANI MERO GRUPO ESCOLAR EXPERIMENTAL,PENEDO,ESCOLA ESTADUAL PROFESSOR ERNANI MÉRO (GRUPO ESCOLAR EXPERIMENTAL),227
MACEIO,ESCOLA MUNICIPAL DOUTOR ORLANDO ARAUJO,MACEIO,ESC. MUN. DR. ORLANDO ARAÚJO,226
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,225
RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR ROSINEIDE TEREZA MARTINS DA CONCEICAO,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,223
RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,218
MACEIO,ESCOLA MUNICIPAL RADIALISTA EDECIO LOPES ANTIGO COLEGIO LAERSON ROSA,MACEIO,ESC. MUN. RADIALISTA EDÉCIO LOPES (ANTIGO COL. LAERSON ROSA),212
MACEIO,CENTRO DE ENSINO SANTA JULIANA,MACEIO,CENTRO DE ENSINO SANTA JULIANA,212
ARAPIRACA,GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA,ARAPIRACA,GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA,212
RIO LARGO,ESCOLA MUNICIPAL DE ENSINO F PROFESSOR JOSE EDMILSON,RIO LARGO,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON,211
MACEIO,ESCOLA MUNICIPAL TRADUTOR JOAO SAMPAIO,MACEIO,E.M. TRADUTOR JOÃO SAMPAIO,209
MACEIO,ESCOLA MUNICIPAL SERGIO LUIZ PESSOA BRAGA,MACEIO,ESCOLA MUN. SÉRGIO LUIZ PESSOA BRAGA,205
MACEIO,COLEGIO SAGRADA FAMILIA,MACEIO,COLÉGIO SAGRADA FAMILIA,203
ARAPIRACA,ANEXO ESCOLA JAYME DE ALTAVILLA,ARAPIRACA,ANEXO ESCOLA JAYME DE ALTAVILLA,203
CORURIPE,ESCOLA MUNICIPAL EDUC BASICA PROFESSOR MARIA ROCHA SANTOS SILVA,CORURIPE,ESCOLA MUN. EDUC. BÁSICA PROF. MARIA ROCHA SANTOS SILVA,198
ARAPIRACA,ESCOLA LINDAUVA EULALIA DE FARIAS,ARAPIRACA,ESCOLA LINDAUVA EULÁLIA DE FARIAS,197
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTÁRIA MARIA DAS NEVES BORGES,196
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR ALMEIDA LEITE,MACEIO,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,194
MACEIO,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,MACEIO,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,194
MACEIO,SEST SENAT,MACEIO,SEST/SENAT,193
MACEIO,COLEGIO SANTA AMELIA,MACEIO,COLÉGIO SANTA AMÉLIA,193
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,MACEIO,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,190
MACEIO,ESCOLA MUNICIPAL PROFESSORA HEVIA VALERIA MAIA AMORIM,MACEIO,E.M. PROFA. HÉVIA VALÉRIA MAIA AMORIM,189
MACEIO,ESCOLA MUNICIPAL MARIA DE LOURDES DE MELO PIMENTEL,MACEIO,E.M. MARIA DE LOURDES DE MELO PIMENTEL,189
CORURIPE,ESCOLA MUNICIPAL CENT EDUCACAO INFANTIL PROFESSOR MARIA ZENAIDE ROCHA SANTOS,CORURIPE,ESCOLA MUN. CENT. EDUCAÇÃO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,188
MACEIO,ESCOLA MUNICIPAL JOAO XXIII,MACEIO,ESC. MUN. JOÃO XXIII,188
CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,188
